message_id,customer_msg,true_intent,drafted_reply,retrieved_historical_replies,human_groundedness,human_correctness,human_tone_match,human_actionability,judge_groundedness,judge_correctness,judge_tone_match,judge_actionability
2921393,Kitten TV on @116439 ð±ð±ð± https://t.co/tmvlpcnbJ1,digital_devices,@AmazonHelp I'm sorry for the trouble with your device. Have you tried these troubleshooting steps: https://t.co/Le3NRPJFEy? ^CO,"@346471 I'm sorry for the trouble with your device. Have you tried these troubleshooting steps: https://t.co/Le3NRPJFEy? ^CO
---
@635737 |´-`)ﾁﾗｯ　Fire TV Stickをお買い求めいただきありがとうございます！
大画面で色々お楽しみくださいませ📺✨ HM
---
@758693 The Echo Show can control Amazon Video on Fire TV. You can learn more about features it has here: https://t.co/lsPSiM1WSk For more details on video compatibility, visit: https://t.co/EoI5F6yFvp ^AF",1,1,3,1,2,5,5,5
2697183,@AmazonHelp Where is the applications library??,digital_devices,@AmazonHelp Géniale 😍 C'est Noël avant l'heure chez vous on dirait 😄 ^ARC,"@683416 Géniale 😍 C'est Noël avant l'heure chez vous on dirait 😄 ^ARC
---
@346569 We will continue to add new content. Keeping checking https://t.co/FYM9PJhpIG where (1/2)^CB
---
@221291 We're unable to access account info via Twitter. We'd like to help if we can. Please contact us via phone or chat here: https://t.co/Q7Ftz6nj80 ^JF",1,1,2,1,1,1,2,1
1546647,@AmazonHelp I've gotten it and it works now so thank you,digital_devices,@AmazonHelp Oh no! What does the current tracking on the order state? You can find that information here: https://t.co/aaDyEz1VgE. Please be sure to let us know! We're here to help. ^TG,"@222181 Oh no! What does the current tracking on the order state? You can find that information here: https://t.co/aaDyEz1VgE. Please be sure to let us know! We're here to help. ^TG
---
@152471 We're here to help! Are you subscribed to receive Shipment updates via SMS? You would need to check 'Shipment Updates via Text' in your Account Settings. Check and learn how here: https://t.co/gBZWu9Nvc2 Keep us posted, we're here for you! ^JE
---
@124652 Thank you for keeping us posted. We will get back to you soon with an update. ^KS",1,1,3,1,1,1,1,1
2816293,@AmazonHelp ordered a JBL CHARGE3 on Black Friday. Unplugged it the first time it does this help!  @164902 maybe you can help too?  I donât want a return just a new cord. https://t.co/UbEAakQCcI,digital_devices,"@AmazonHelp We do have some sweet deals going on today! To check out these Black Friday deals, please see here: https://t.co/FJvxQ6Xp01 ^FD","@152007 We do have some sweet deals going on today! To check out these Black Friday deals, please see here: https://t.co/FJvxQ6Xp01 ^FD
---
@665449 Is there an option to select that individual item, and then request a replacement ? ^TD
---
@184218 Certainly. You can visit this link to return the product. https://t.co/dgreAZQ5qf. ^SM.",1,1,2,1,1,1,3,1
1668879,@117086 e @263285 faz um aplicativo fora da Playstore com suporte ao Android TV ou comeÃ§a a vender o Firestick por aqui tambÃ©m.,digital_devices,"@AmazonHelp Olá, pode sim a través deste link: https://t.co/qGpkDwGRhX , clique em telefone e nós vamos ligar para você . ^MB","@182454 Olá, pode sim a través deste link: https://t.co/qGpkDwGRhX , clique em telefone e nós vamos ligar para você . ^MB
---
@233308 Olá Antonio, assim que tivermos mais informação e novidades serão anunciadas no site. Continue de olho 😉! ^LG
---
@515560 Olá, Diogo! Um livro legal demais, espero que você esteja curtindo da leitura dele! :D ^CR",2,2,4,2,1,1,2,2
1776209,@115821 customer service is trash I was told 3 different things each time I called Then they hung up when I asked to speak with a supervisor,feedback_complaint,"@AmazonHelp We would love to get more details from you about this unfortunate incident, Mariah, but we are unable to initiate DM's through Twitter. However, we are more than able to respond, so please send us a Direct Message, and we will do everything we can to assist! ^JD","@236026 We would love to get more details from you about this unfortunate incident, Mariah, but we are unable to initiate DM's through Twitter. However, we are more than able to respond, so please send us a Direct Message, and we will do everything we can to assist! ^JD
---
@183936 We will always have your back, Michael! ❤️  ^SD
---
@548984 Oh no! Can you tell us a bit more about what's happened without revealing account information? ^RM",4,4,5,4,2,4,3,4
839378,@AmazonHelp Customer care helpless. No answers except prod cut will be delivered,feedback_complaint,"@AmazonHelp This isn't what we like to hear! Without providing personal or account details, can you let us know what's going on? We'd like to help in any way we can! ^FD","@680448 This isn't what we like to hear! Without providing personal or account details, can you let us know what's going on? We'd like to help in any way we can! ^FD
---
@350050 Thank you for sharing your details. We're looking into the issue and shall get back to you soon. ^SH
---
@687303 to process the replacement or refunds the item has to be self shipped. Appreciate your understanding. 2/2 ^MJ",4,4,5,3,3,5,4,3
1369958,@115850 @115850 I am expecting a quick response,feedback_complaint,@AmazonHelp That's odd. Apologies for the miss. We'd like to check this. Please report this to our team here: https://t.co/TdDksLo6Mf. ^HD,"@418411 That's odd. Apologies for the miss. We'd like to check this. Please report this to our team here: https://t.co/TdDksLo6Mf. ^HD
---
@492155 You may refer to the link here: https://t.co/e3illl0sat to purchase the item. ^PS
---
@294421 Thanks for the update. We will check and connect with you accordingly. ^RW",3,3,4,3,2,3,3,2
888415,@AmazonHelp I appreciate your response. We posted the same on your page just to bring it in to your notice and swift action only as we are frustrated enough by the system,feedback_complaint,@AmazonHelp We understand that your are waiting for the product.  1/2 ^SB,"@206736 We understand that your are waiting for the product.  1/2 ^SB
---
@328135 We're always looking to improve, Adam! Here is where you can express your feedback: https://t.co/fxgZ6hTrFA ^VB
---
@337086 Kindly have a go through &amp; if something doesn't seem right, try posting your review again after appropriate corrections. (2/2)^YP",2,2,3,2,4,2,5,2
179988,@AmazonHelp Can you not advise anything here?,feedback_complaint,@AmazonHelp You can opt out of these messages. Check out the link in the first paragraph of this page: https://t.co/Yjh0KUW5yo ^MJ,"@494044 You can opt out of these messages. Check out the link in the first paragraph of this page: https://t.co/Yjh0KUW5yo ^MJ
---
@352512 for instant support, use the phone or chat feature on that link ^AS
---
@402584 Can you contact us here: https://t.co/JzP7hlA23B? ^MC",1,1,2,1,2,4,1,4
245219,@115850 How come the prce of Sandisk microsd crd wth adaptor priced in ur 'Lightning Deal' as 649 bcomes 739 at chkout wth normal delivery,payments_gift_cards,"@AmazonHelp I understand your concern, Ayush. I'd like to inform you that the price which you are seeing is the lowest which we can offer at this point of time. Appreciate your understanding. However, I'll forward your feedback internally to the concerned team. ^NK","@244860 I understand your concern, Ayush. I'd like to inform you that the price which you are seeing is the lowest which we can offer at this point of time. Appreciate your understanding. However, I'll forward your feedback internally to the concerned team. ^NK
---
@184666 our efforts to offer you the lowest price may result in fluctuations in our prices over time. (2/2) ^ST
---
@185986 you the lowest price, may result in fluctuations in our prices over time. 2/2^HN",4,3,4,3,3,3,4,2
324221,"@115850 order id-402-4902132-3775509  how this paymnt can be done when no delivery boy came to my add.
Allahabad delvry system is poor. https://t.co/jGqMCKUqen",payments_gift_cards,@AmazonHelp Sorry about that. Kindly report it here:https://t.co/vlvfJr4nN9 and we'll get this sorted for you. ^PB,"@298514 Sorry about that. Kindly report it here:https://t.co/vlvfJr4nN9 and we'll get this sorted for you. ^PB
---
@664887 I understand how upsetting this can be. This is certainly not the kind of experience we want our customers to have. Kindly reach out to us here: https://t.co/vlvfJr4nN9 and we will assist you. 1/2 ^AH
---
@133926 We do not have access to your account details over twitter. Please share your details from the secured link provided by me earlier and we'll look into your concern. Appreciate your understanding. ^HS",4,4,4,4,3,2,4,4
725245,@115850 @AmazonHelp I had ordered OnePlus5 on 28th June â17. I still havenât receivedcashback of Rs. 1500 (SBI card offer). Please help!!! https://t.co/227y7N6DdC,payments_gift_cards,"@AmazonHelp Sorry, but we currently do not have a tentative date as to when the offer will be available again. ^MP 1/2","@520993 Sorry, but we currently do not have a tentative date as to when the offer will be available again. ^MP 1/2
---
@366269 Please report this to our support team here : https://t.co/rS49hgaADF so that we can assist you accordingly. (2/2) ^RI
---
@119350 If the details are provided from the link provided, you should have received a correspondence here: https://t.co/DTSNmGldJf ^BS",1,1,3,1,2,2,3,2
1252203,"@AmazonHelp haven't got the cashback for the 1st Recharge via Amazon pay, it's being 15 days now, the recharge was meant for @120602",payments_gift_cards,@AmazonHelp I understand your concern regarding the cashback. Please reach out to us here: https://t.co/vlvfJr4nN9 and we will fix this for you. ^AH,"@169319 I understand your concern regarding the cashback. Please reach out to us here: https://t.co/vlvfJr4nN9 and we will fix this for you. ^AH
---
@506918 You can check for our response here : https://t.co/DTSNmGldJf. Hope this helps. ^CB
---
@388292 We have sent you an email correspondence, you can check your inbox here: https://t.co/DTSNmGldJf 1/2 ^OS",5,5,5,5,3,4,4,4
2740685,@115850 I have purchased a Motorola pulse escape for rupees 1990 and paid the amount by Visacard by online portal. But somehow first time the transection has been failed but money has been deducted and therefore I have paid second time for the product. I ,payments_gift_cards,@AmazonHelp I'm sorry for the streaming issues! Please give us a call here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR,"@512960 I'm sorry for the streaming issues! Please give us a call here: https://t.co/hApLpMlfHN so we can look into this with you! ^TR
---
@326239 I'm sorry about the delay. Kindly submit your details by clicking on the link mentioned above and we'll contact you soon. ^GD
---
@313526 Have you received an email from an account specialist? ^PK",1,1,3,1,1,1,1,1
152203,@AmazonHelp Ah dommage je n'achÃ¨terais pas alors. Vous ne savez pas si vous en aurez Ã  nouveau en stock ? (vu que ce sont les nouveaux ipad pro).,product_information,"@AmazonHelp Bonjour, nous n'avons pas de visibilité par rapport au réapprovisionnement des articles ^ME","@788220 Bonjour, nous n'avons pas de visibilité par rapport au réapprovisionnement des articles ^ME
---
@417981 yes, it is ^AT
---
@233975 Bonjour Jordan, nous n'avons pas de visibilité sur cela. ^SM",5,5,5,4,5,5,3,2
1665742,@AmazonHelp Amazonã«ãããªã·ã¹ãã ããã£ããªãã¦â¦â¦ï¼,product_information,@AmazonHelp Thanks for the update. We've received your details and we'll get back to you at the earliest. ^SC,"@279151 Thanks for the update. We've received your details and we'll get back to you at the earliest. ^SC
---
@348854 I'm sorry, we currently do not have a date available. We'll e-mail you with any updates if an order has been placed. ^EP
---
@576393 ¿Actualmente qué es lo que muestra la información de seguimiento/rastreo de la orden? ^VM",2,2,4,2,2,5,3,3
246378,"@AmazonHelp Gestionado por Amazon.
Vendido por: Amazon EU S.a.r.L.",product_information,@AmazonHelp Lo sentimos mucho. Por favor entra en contacto con nuestro Servicio al Cliente por este enlace: https://t.co/KyKcfqiS0j ^JJ,"@396882 Lo sentimos mucho. Por favor entra en contacto con nuestro Servicio al Cliente por este enlace: https://t.co/KyKcfqiS0j ^JJ
---
@800860 Comprendo, ¿has podido comunicarte con el transportista encargado de entregar tu pedido? ^KA
---
@706432 Puedes mantenernos al tanto de esta entrega. Estamos para ayudarte ^VL",1,1,3,1,5,5,5,5
920931,@115850 Stop posting shit. You sold be a defective product and doesn't give a damn about  issue. #biycottAmazon #fakeamazon #disappointing services,product_information,@AmazonHelp I'd request you to report the issue with your order here: https://t.co/2t6DQoUmNZ we'll look into it and help you out. 2/2 ^AP,"@479330 I'd request you to report the issue with your order here: https://t.co/2t6DQoUmNZ we'll look into it and help you out. 2/2 ^AP
---
@787949 Apologies that you've received a defective product. Please fill in your details here: https://t.co/GIJyeYqKE0 and we'll assist you accordingly. 
Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^PJ
---
@206653 Sorry about the unpleasant experience. Please share your details here: https://t.co/GIJyeYqKE0 &amp; we'll get this fixed. ^BS",5,5,5,5,2,4,2,4
379365,@AmazonHelp I had a scheduled furniture assembly yesterday which never happened. Upon calling the customer care they could not help much apart.,product_information,@AmazonHelp Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC,"@337019 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC
---
@821739 We would do our best to get the package delivered at the earliest. I would request you to please wait till the estimates. ^KK
---
@546436 Please connect with our support team here: https://t.co/POlbWuxLJf and we'll help you with the required information. ^SH",2,2,4,2,1,1,1,1
457754,@AmazonHelp @137599 my copy of destiny 2 was cancelled because we used the same card to pay on each account and every person Iâve talked to in CS has told me to just buy it again at more than double the price it was when I purchased it,returns_refunds,@AmazonHelp I'm sorry about the poor experience. We would like the chance to assist you with this. Please contact us at the link provided above so we can take a look for you. ^MI,"@799756 I'm sorry about the poor experience. We would like the chance to assist you with this. Please contact us at the link provided above so we can take a look for you. ^MI
---
@557217 Hi, sorry to hear there was an issue. Has your order now been cancelled: https://t.co/Sr0IJrdjCy ^TS
---
@231878 What was advised by the supervisors you spoke with? Did they provide any insight on a time frame for resolution? ^NC",5,4,5,4,3,4,4,2
831080,@AmazonHelp Nope. They cancelled the one that was supposed to arrive 10/7. And will try to get the next subscription order out.,returns_refunds,@AmazonHelp We just wanted to see if you received a survey. Please keep us posted when you hear from us on the 16th. ^GR,"@326607 We just wanted to see if you received a survey. Please keep us posted when you hear from us on the 16th. ^GR
---
@516213 Thank you for clarifying. Please let us know what the outcome of her follow up call is, and keep us updated! ^DW
---
@720875 Perfect! Keep us updated on the outcome! ^AB",1,1,3,1,1,1,1,1
2110004,@115821 dudes. You refunded me for the wrong item. I got my wine. Just not my #reesespeanutbuttercups the wine cost more! I only needed $4!,returns_refunds,@AmazonHelp Oh no! I'm sorry that happened! We can help with this! Visit us here: https://t.co/ufLP8OycNi to start the return process. ^TK,"@302791 Oh no! I'm sorry that happened! We can help with this! Visit us here: https://t.co/ufLP8OycNi to start the return process. ^TK
---
@215099 I'm sorry for the wait. What order status and delivery date(s) are you currently seeing here: https://t.co/Y5jpI9gRhE? ^KM
---
@809664 I'm sorry to hear you didn't receive the right item. Was this particular item you ordered wrong twice or was it related to two separate orders? ^SY",3,3,4,3,2,4,3,3
244076,"@115850 Return pick is not as per date schedule.
Unsatisfied with Amazon service.pin394601 __email__",returns_refunds,"@AmazonHelp Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ","@190545 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. ^MJ
---
@363314 Sorry to know about the delay with the pickup. Please share your details here: https://t.co/GIJyeYqKE0 I'll reach out.^KA
---
@317328 here: https://t.co/00q4Sqj9zL for assistance? (2/2) ^KA",2,2,4,2,1,1,1,1
58121,@AmazonHelp A claim and escalated. Then the same bs email about how more info is needed and the seller hasnât received the item. Horrible customer serv.,returns_refunds,"@AmazonHelp We cannot check accounts here on Twitter. Can I ask, what was the original delivery date given to you on the confirmation email when you placed this order?^GA","@614761 We cannot check accounts here on Twitter. Can I ask, what was the original delivery date given to you on the confirmation email when you placed this order?^GA
---
@483372 I'm so sorry for any disappointment! Late packages typically arrive within one business day- please keep us up to date! ^BL
---
@313976 I'm sorry you're still waiting on it. What's the delivery date provided in your e-mail confirmation? ^MG",4,4,4,3,3,5,2,4
322025,@115830 I've just received an email from you saying I need click on a link to get a credit voucher. Is this spam? I can dm a copy.,safety_legal_other,@AmazonHelp We have already responded to you on 5th November. Please check the email sent from (1/2) ^HS,"@213144 We have already responded to you on 5th November. Please check the email sent from (1/2) ^HS
---
@316435 Thank you, please look out for a response there! ^RR
---
@262645 I'm sorry to hear about the delay, Monica! While delays are rare, they can sometimes occur due to unforeseen circumstances. Please let us know if your parcel is not received by tomorrow as most late orders arrive the next day! ^CS",1,1,3,1,4,4,3,3
1306446,Howâs my Thursday going? Well my amazon account got hacked and was charged $900... &amp; Iâm honestly impressed bc I didnât know I had $900,safety_legal_other,"@AmazonHelp Oh no, Paige! Deliveries can be made up until 21:00. Please keep us posted and let us know if it doesn't arrive by then. ^TG","@510911 Oh no, Paige! Deliveries can be made up until 21:00. Please keep us posted and let us know if it doesn't arrive by then. ^TG
---
@665797 Oh no! I'm sorry for the account trouble! Have you reached us to report this yet here: https://t.co/jzvkhdlrK5?
---
@732652 Hey, Angelica! Before you do that, let's see if we can help you out. Which membership did you have? ^BL",1,1,2,1,1,1,2,1
900900,"ããä»æ¥2éç®ãã­ããã©
Amazonã¡ããããªï¼
è£ã£ã¦ããã¤ãããªã https://t.co/oABRpkqJ5c",safety_legal_other,"@AmazonHelp Gracias por la información, por favor entra en contacto con Servicio al Cliente para reportar lo que nos comentas: https://t.co/beR78zMMYB

Saludos,
-Kevin S.","@775305 Gracias por la información, por favor entra en contacto con Servicio al Cliente para reportar lo que nos comentas: https://t.co/beR78zMMYB

Saludos,
-Kevin S.
---
@341006 This specific CD doesn't include AutoRip. I'm really sorry for any inconvenience! ^EZ
---
@474948 We'd like to look into this further with you. Please reach us by phone or chat here: https://t.co/oGDklGgbCZ ^JN",1,1,2,1,2,4,4,4
973570,"@115851 @AmazonHelp Why is @115850 promoting and selling spurious/counterfeit items? No answer to queries to them. Does Amazon encourage selling counterfeits? In India, this is illegal. https://t.co/9eXMnsrn99",safety_legal_other,@AmazonHelp Amazon doesn't charge although service charges may apply from mobile providers. They would be in the best position to help. ^TG,"@158936 Amazon doesn't charge although service charges may apply from mobile providers. They would be in the best position to help. ^TG
---
@119350 If the details are provided from the link provided, you should have received a correspondence here: https://t.co/DTSNmGldJf ^BS
---
@375447 I’m sorry about the delay. Have you escalated this to our support team via the link shared earlier? ^SB",1,1,2,1,1,1,1,1
2439667,Clients @115821 attention Ã  l'arnaque qui tourne par mail !!! https://t.co/UgGWLuJjw1,safety_legal_other,"@AmazonHelp Bonjour, merci de nous l'avoir signalé,  pourriez-vous  nous transmettre l'émail reçu vers: __email__ afin qu'on puisse le vérifier je vous prie ? 
^KE","@667705 Bonjour, merci de nous l'avoir signalé,  pourriez-vous  nous transmettre l'émail reçu vers: __email__ afin qu'on puisse le vérifier je vous prie ? 
^KE
---
@699433 We'd like to look into this for you. At your earliest convenience, contact us here: https://t.co/hApLpMlfHN ^LI
---
@405389 Vous pouvez soumettre une évaluation sur l'emballage reçu via le lien suivant: https://t.co/lk935G8fa9 ^BR",5,5,5,5,5,3,4,5
